brand,category,dimensions,id,imageurl,longdescr,modelno,orig_techdetails,original_id,price,shipweight,shortdescr,techdetails,title
draper,electronics general,,22075,http i walmartimages com i mp 00 64 10 92 16 0064109216245 p255045 300x300 jpg,dr1143infrared transmitter 3 button operation for instant access to up down and stop functions fully compatible with learnable ir master control systems receiver sold seperately plugs into the draper low voltage control unit lvc iii sold separately ,121066,infrared transmitter 3 button operation for instant access to up down and stop functions fully compatible with learnable ir master control systems receiver sold seperately plugs into the draper low voltage control unit lvc iii sold separately ,1,58 45,2,,infrared transmitter 3 button operation for instant access to up down and stop functions fully compatible with learnable ir master control systems receiver sold seperately plugs into the draper low voltage control unit lvc iii sold separately ,draper infrared remote transmitter
epson,monitors,6 75 x 5 75 x 5 5 inches,22076,http i walmartimages com i p 00 01 03 43 83 0001034383417 300x300 jpg,epson elplp12 1500hrs 200v repl lamp for lamp powerlite for 7700p 5600p 7600 features lamp life 1500 hour manufacturer epson corporation compatible devices lcd manufacturer part number elplp12 manufacturer website address www epson com product name replacement lamp package type retail product type 200w uhe projector lamp tech specs manufacturer epson corporation manufacturer part number elplp12 shipping dimensions 5 25 depth manufacturer website address www epson com lamp life 1500 hour compatibility epson powerlite 7700p projector epson powerlite 7600p projector epson powerlite 5600p projector compatible devices lcd product name replacement lamp shipping weight 1 lb package type retail product type 200w uhe projector lamp,elplp12,,2,438 84,0 95,epson elplp12 replacement lamp,,epson 1500 hours 200w uhe projector lamp elplp12
comprehensive,tv accessories,,22077,http i walmartimages com i mp 00 80 84 47 00 0080844700031 p255045 300x300 jpg,ch1151comprehensive s true 75 connectors eliminate impedance mismatching and distortion that can be caused by using 50 connectors on 75 cable true 75 bnc connectors are a must for all digital high bandwidth applications above 300 mhz and recommended for all analog applications a lifetime warranty makes comprehensive connectors the preferred choice of video multimedia consultants and engineers worldwide specifications electrical impedance 75 ohm freq range 0 4 ghz w low reflection 500v peak 1 3 max thermal limits usable to 11 ghz voltage rating pe insulators 55 degrees c to 85 degrees c mechanical mating 2 stud bayonet lock coupling per m39012 center contact captivated center contact cable retention crimps 20 to 50 lbs material center contacts male female brass beryllium copper body brass astroplate finish crimp ferrule copper insulators tfe teflon 75 all crimps rexolite derlin 50 glass ife hermetically sealed clamp gaskets synthetic rubber silicone rubber boots o ring crimp silicone rubber heat shrink tubing all other crimps thermofit plastic comprehensive offers a lifetime warranty on all products,bj 2c7559,comprehensive s true 75 connectors eliminate impedance mismatching and distortion that can be caused by using 50 connectors on 75 cable true 75 bnc connectors are a must for all digital high bandwidth applications above 300 mhz and recommended for all analog applications a lifetime warranty makes comprehensive connectors the preferred choice of video multimedia consultants and engineers worldwide specifications electrical impedance 75 ohm freq range 0 4 ghz w low reflection 500v peak 1 3 max thermal limits usable to 11 ghz voltage rating pe insulators 55 degrees c to 85 degrees c mechanical mating 2 stud bayonet lock coupling per m39012 center contact captivated center contact cable retention crimps 20 to 50 lbs material center contacts male female brass beryllium copper body brass astroplate finish crimp ferrule copper insulators tfe teflon 75 all crimps rexolite derlin 50 glass ife hermetically sealed clamp gaskets synthetic rubber silicone rubber boots o ring crimp silicone rubber heat shrink tubing all other crimps thermofit plastic comprehensive offers a lifetime warranty on all products,3,59 25,0 05,,comprehensive s true 75 connectors eliminate impedance mismatching and distortion that can be caused by using 50 connectors on 75 cable true 75 bnc connectors are a must for all digital high bandwidth applications above 300 mhz and recommended for all analog applications a lifetime warranty makes comprehensive connectors the preferred choice of video multimedia consultants and engineers worldwide specifications electrical impedance 75 ohm freq range 0 4 ghz w low reflection 500v peak 1 3 max thermal limits usable to 11 ghz voltage rating pe insulators 55 degrees c to 85 degrees c mechanical mating 2 stud bayonet lock coupling per m39012 center contact captivated center contact cable retention crimps 20 to 50 lbs material center contacts male female brass beryllium copper body brass astroplate finish crimp ferrule copper insulators tfe teflon 75 all crimps rexolite derlin 50 glass ife hermetically sealed clamp gaskets synthetic rubber silicone rubber boots o ring crimp silicone rubber heat shrink tubing all other crimps thermofit plastic comprehensive offers a lifetime warranty on all products,comprehensive two piece 75 precision bnc jack for rg 59 set of 25
d link,garden general,,22078,http i walmartimages com i p 00 79 00 69 32 0079006932160 300x300 jpg,surveillance network camera built in omni directional microphone supports 4 profiles simultaneously adjustable image size and quality time stamp and text overlay three configurable motion detection windows flip and mirror,dcs 1100, ul li surveillance network camera li li built in omni directional microphone li li supports 4 profiles simultaneously li ul ,4,99 82,,the d link dcs 1100 network camera comes with everything you need to quickly add a surveillance camera to your home or small office network it works right out of the box simply connect the cables plug in the camera run the short installation wizard and setup is complete to view what the camera is seeing simply log on to mydlink com choose your device and start viewing there is no need to configure your router to open up ports or remember hard to memorize internet addresses ,surveillance network camera built in omni directional microphone supports 4 profiles simultaneously,d link dcs 1100 network camera
startech,electronics general,72 5 x 2 5 x 1 5 inches,22079,http i walmartimages com i p 00 06 50 30 81 0006503081691 300x300 jpg,24 outlet power strip solution for your rackmount equipment fits most 42u racks and equipment cabinets 10 ft power cord provides plenty of reach to power outlets 24 evenly spaced outlets help keep power cabling clean and efficiently routed,rkpw247015, ul li fits most 42u racks and equipment cabinets li li 10 ft power cord provides plenty of reach to power outlets li li 24 evenly spaced outlets help keep power cabling clean li ul ,5,59,5 25,the startech com rkpw247015 24 outlet power strip provides a 0u solution for your rackmount equipment and fits most 42u racks and equipment cabinets the 10 ft power cord provides plenty of reach to power outlets and the 24 evenly spaced outlets help keep power cabling clean and efficiently routed ,fits most 42u racks and equipment cabinets 10 ft power cord provides plenty of reach to power outlets 24 evenly spaced outlets help keep power cabling clean,startech com rkpw247015 24 outlet power strip
3m,furniture,21 6 x 13 5 x 4 05 inches,22080,http i walmartimages com i p 00 02 12 00 52 0002120052175 300x300 jpg,material steel features non skid color charcoal black,fr530cb, ul li material steel li li features non skid li li color charcoal black li ul ,6,67 88,10 5,this adjustable footrest offers an ergonomic design that positions you properly to help reduce back neck and leg strain and prevent fatigue an extra wide platform allows more foot and leg movement and its independently adjustable height and tile allows exact positioning exclusive safety walk slip resistant material on platform keeps your feet from slipping ,material steel features non skid color charcoal black,3m fr530cb ergonomic adjustable footrest
hp,stationery amp office machinery,33 98 x 3 83 x 3 83 inches,22081,http i walmartimages com i p 00 08 86 98 59 0008869859138 300x300 jpg,bright white coated paper for use with inkjet printers ideal for color accurate prints and design proofs coated paper has exceptional bleed control and high resolution for clear sharp images 1 roll 36 x 150,c6020b, ul li bright white coated paper li li for use with inkjet printers li li ideal for color accurate prints and design proofs li ul ,7,49 88,9 78,the hp c6020b coated paper is ideal for color accurate everyday prints and design proofs economical bright white paper captures vivid high resolution color and dense black images offers bright white plus excellent indoor light fastness for lasting vivid color coated paper has exceptional bleed control and high resolution for clear sharp images can be printed with dye or pigment inks for the broadest application possibilities and printing flexibility ,bright white coated paper for use with inkjet printers ideal for color accurate prints and design proofs,hp c6020b coated paper 1 roll 36 inches x 150 ft
visioneer,electronics general,11 4 x 2 0 x 1 5 inches,22082,http i walmartimages com i p 00 78 54 14 10 0078541410985 300x300 jpg,sheetfed color scanner lightweight and portable 600 dpi usb connection compatible with windows 2000 and windows xp,rw120 wu, ul li sheetfed color scanner li li 600 dpi li li usb connection li ul ,8,199 98,1 85,the visioneer roadwarrior is the perfect companion for the mobile professional weighing just 10 6 ounces it produces fast and easy 36 bit color scans to organize all of your receipts business cards documents and photos up to 600 dpi in all major file formats including searchable pdf the roadwarrior packs easily in a laptop bag and is powered by the usb port to scan wherever ac power is unavailable ,sheetfed color scanner 600 dpi usb connection,visioneer rw120 wu roadwarrior sheetfed scanner
brother,stationery amp office machinery,4 5 x 4 5 x 3 6 inches,22083,http i walmartimages com i p 00 01 25 02 61 0001250261176 300x300 jpg,clear label tape ideal for sign and banner creation for use with brother p touch label printers ql 500 ql 550 and ql 650td 1 roll 2 44 x 50,dk2113, ul li clear label tape li li ideal for sign and banner creation li li 1 roll 2 44 quot x 50 li ul ,9,64 88,0 55,make sign and banner creation a breeze make them quickly and professionally with these film tape and p touch label printers ql 500 ql 550 and ql 650td you can print directly from microsoft word excel or access with just a click or have fun and get creative using brother,clear label tape ideal for sign and banner creation 1 roll 2 44 x 50,brother dk2113 ql label printers continuous length tape
3m,electronics general,9 63 x 7 65 x 0 36 inches,22084,http i walmartimages com i p 00 05 11 35 80 0005113580710 300x300 jpg,mouse pad features antimicrobial non skid base color black,mw310le, ul li mouse pad li li features antimicrobial non skid base li li color black li ul ,10,17 88,0 95,mouse pad with wrist rest features 3m precise optical mousing surface for better performance and gel comfort to encourage neutral wrist posture mousing surface extends battery life of wireless mice up to 75 percent antimicrobial additive inhibits the growth of microorganisms such as bacteria that can cause stains odors and product degradation ,mouse pad features antimicrobial non skid base color black,3m mw310le gel mouse pad
